Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
9709.0,AWTSE2G-ALUSL-40-A+ -R,40 MM Aluminio Silver Premium,TRUE,instock,no,21.0,product-variant,9656.0
9705.0,AWTSE2G-ALUMD-40-A+ -R,40 MM Aluminio Midnight Premium,TRUE,instock,no,11.0,product-variant,9656.0
,iP13PR-SRBL-128-C -R,,TRUE,instock,no,9.0,product-variant,
,iP13PR-DES-256-ASIS-R,,TRUE,instock,no,9.0,product-variant,
,iP13PR-DES-128-ASIS-R,,TRUE,instock,no,7.0,product-variant,
,iP13PR-SL-128-C -R,,TRUE,instock,no,6.0,product-variant,
8394.0,iP12-BL-128-A -R,128 GB Blue Excelente,TRUE,instock,no,1.0,product-variant,8311.0
,iP13PR-SRBL-256-C -R,,TRUE,instock,no,5.0,product-variant,
8410.0,iP12-MV-256-A -R,256 GB Malva Excelente,TRUE,instock,no,4.0,product-variant,8311.0
,iPXS-DES-256-SC-R,,TRUE,instock,no,3.0,product-variant,
9003.0,iPXS-SG-256-A -R,256 GB Space gray Excelente,TRUE,instock,no,2.0,product-variant,8961.0
9015.0,iPXS-SG-512-A -R,512 GB Space gray Excelente,TRUE,instock,no,2.0,product-variant,8961.0
,iP13PR-SRBL-128-B -R,,TRUE,outofstock,no,0.0,product-variant,
8995.0,iPXS-GD-256-A -R,256 GB Gold Excelente,TRUE,instock,no,1.0,product-variant,8961.0
8390.0,iP12-BK-128-A -R,128 GB Black Excelente,TRUE,instock,no,2.0,product-variant,8311.0
,iP13PR-SRBL-256-B -R,,TRUE,instock,no,2.0,product-variant,
8886.0,iP11PR-MDGR-256-A -R,256 GB Midnight Green Excelente,TRUE,outofstock,no,0.0,product-variant,8791.0
8454.0,iP12-WT-64-A -R,64 GB White Excelente,TRUE,outofstock,no,0.0,product-variant,8311.0
9713.0,AWTSE2G-ALUSTR-40-A+ -R,40 MM Aluminio Starlight Premium,TRUE,instock,no,1.0,product-variant,9656.0
8393.0,iP12-BL-128-B -R,128 GB Blue Muy bueno,TRUE,instock,no,1.0,product-variant,8311.0
8406.0,iP12-WT-128-A -R,128 GB White Excelente,TRUE,outofstock,no,0.0,product-variant,8311.0
9635.0,AWT7G-ALUSTR-41-A+ -R,41 MM Aluminio Starlight Premium,TRUE,instock,no,1.0,product-variant,9541.0
9954.0,iP12PR-GRT-512-B -R,512 GB Graphite Muy bueno,TRUE,instock,no,1.0,product-variant,8912.0
9002.0,iPXS-SG-256-B -R,256 GB Space gray Muy bueno,TRUE,instock,no,1.0,product-variant,8961.0
9646.0,AWT7G-ALUMD-45-A -R,45 MM Aluminio Midnight Excelente,TRUE,instock,no,1.0,product-variant,9541.0
8418.0,iP12-BL-256-A -R,256 GB Blue Excelente,TRUE,instock,no,1.0,product-variant,8311.0
,iPXS-DES-64-SC-R,,TRUE,instock,no,1.0,product-variant,
9955.0,iP12PR-GRT-512-A -R,512 GB Graphite Excelente,TRUE,instock,no,1.0,product-variant,8912.0
8430.0,iP12-WT-256-A -R,256 GB White Excelente,TRUE,outofstock,no,0.0,product-variant,8311.0
8999.0,iPXS-SL-256-A -R,256 GB Silver Excelente,TRUE,instock,no,1.0,product-variant,8961.0
8428.0,iP12-WT-256-C -R,256 GB White Bueno,TRUE,instock,no,1.0,product-variant,8311.0
,iP12-DES-256-ASIS-R,,TRUE,instock,no,1.0,product-variant,
9011.0,iPXS-SL-512-A -R,512 GB Silver Excelente,TRUE,instock,no,1.0,product-variant,8961.0
8981.0,iPXS-GD-64-C -R,64 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8982.0,iPXS-GD-64-B -R,64 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8983.0,iPXS-GD-64-A -R,64 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,8961.0
8984.0,iPXS-GD-64-A+ -R,64 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
8985.0,iPXS-SL-64-C -R,64 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8986.0,iPXS-SL-64-B -R,64 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8987.0,iPXS-SL-64-A -R,64 GB Silver Excelente,TRUE,outofstock,no,0.0,product-variant,8961.0
8988.0,iPXS-SL-64-A+ -R,64 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
8989.0,iPXS-SG-64-C -R,64 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8990.0,iPXS-SG-64-B -R,64 GB Space gray Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8991.0,iPXS-SG-64-A -R,64 GB Space gray Excelente,TRUE,outofstock,no,0.0,product-variant,8961.0
8992.0,iPXS-SG-64-A+ -R,64 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
8993.0,iPXS-GD-256-C -R,256 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8994.0,iPXS-GD-256-B -R,256 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8996.0,iPXS-GD-256-A+ -R,256 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
8997.0,iPXS-SL-256-C -R,256 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
8998.0,iPXS-SL-256-B -R,256 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9000.0,iPXS-SL-256-A+ -R,256 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
9001.0,iPXS-SG-256-C -R,256 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9004.0,iPXS-SG-256-A+ -R,256 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
9005.0,iPXS-GD-512-C -R,512 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9006.0,iPXS-GD-512-B -R,512 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9007.0,iPXS-GD-512-A -R,512 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,8961.0
9008.0,iPXS-GD-512-A+ -R,512 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
9009.0,iPXS-SL-512-C -R,512 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9010.0,iPXS-SL-512-B -R,512 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9012.0,iPXS-SL-512-A+ -R,512 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
9013.0,iPXS-SG-512-C -R,512 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9014.0,iPXS-SG-512-B -R,512 GB Space gray Muy bueno,TRUE,outofstock,no,0.0,product-variant,8961.0
9016.0,iPXS-SG-512-A+ -R,512 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,8961.0
9018.0,iP11PRMX-GD-64-C -R,64 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9019.0,iP11PRMX-GD-64-B -R,64 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9020.0,iP11PRMX-GD-64-A -R,64 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9021.0,iP11PRMX-GD-64-A+ -R,64 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9022.0,iP11PRMX-MG-64-C -R,64 GB Midnight Green Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9023.0,iP11PRMX-MG-64-B -R,64 GB Midnight Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9024.0,iP11PRMX-MG-64-A -R,64 GB Midnight Green Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9025.0,iP11PRMX-MG-64-A+ -R,64 GB Midnight Green Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9026.0,iP11PRMX-SL-64-C -R,64 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9027.0,iP11PRMX-SL-64-B -R,64 GB Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9028.0,iP11PRMX-SL-64-A -R,64 GB Silver Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9029.0,iP11PRMX-SL-64-A+ -R,64 GB Silver Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9030.0,iP11PRMX-SG-64-C -R,64 GB Space gray Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9031.0,iP11PRMX-SG-64-B -R,64 GB Space gray Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9032.0,iP11PRMX-SG-64-A -R,64 GB Space gray Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9033.0,iP11PRMX-SG-64-A+ -R,64 GB Space gray Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9034.0,iP11PRMX-GD-256-C -R,256 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9035.0,iP11PRMX-GD-256-B -R,256 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9036.0,iP11PRMX-GD-256-A -R,256 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9037.0,iP11PRMX-GD-256-A+ -R,256 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9038.0,iP11PRMX-MG-256-C -R,256 GB Midnight Green Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9039.0,iP11PRMX-MG-256-B -R,256 GB Midnight Green Muy bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
9040.0,iP11PRMX-MG-256-A -R,256 GB Midnight Green Excelente,TRUE,outofstock,no,0.0,product-variant,9017.0
9041.0,iP11PRMX-MG-256-A+ -R,256 GB Midnight Green Premium,TRUE,outofstock,no,0.0,product-variant,9017.0
9042.0,iP11PRMX-SL-256-C -R,256 GB Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9017.0
